Region;Region name;Year;Symbol;Value;Label;Unit
RO;Romania;1982;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1983;C;10.555;Cropland in use;Mha
RO;Romania;1983;Csum;10.617145648871404;Crop area sum;Mha
RO;Romania;1983;Ctot;10.555;FAOSTAT cropland;Mha
RO;Romania;1983;PG;4.426;Permanent grassland;Mha
RO;Romania;1983;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1984;C;10.574;Cropland in use;Mha
RO;Romania;1984;Csum;10.762800850654031;Crop area sum;Mha
RO;Romania;1984;Ctot;10.574;FAOSTAT cropland;Mha
RO;Romania;1984;PG;4.418;Permanent grassland;Mha
RO;Romania;1984;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1985;C;10.33545;Cropland in use;Mha
RO;Romania;1985;Csum;10.33545;Crop area sum;Mha
RO;Romania;1985;Ctot;10.622;FAOSTAT cropland;Mha
RO;Romania;1985;PG;4.398;Permanent grassland;Mha
RO;Romania;1985;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1986;C;10.07492;Cropland in use;Mha
RO;Romania;1986;Csum;10.07492;Crop area sum;Mha
RO;Romania;1986;Ctot;10.638;FAOSTAT cropland;Mha
RO;Romania;1986;PG;4.4;Permanent grassland;Mha
RO;Romania;1986;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1987;C;9.81902;Cropland in use;Mha
RO;Romania;1987;Csum;9.81902;Crop area sum;Mha
RO;Romania;1987;Ctot;10.686;FAOSTAT cropland;Mha
RO;Romania;1987;PG;4.407;Permanent grassland;Mha
RO;Romania;1987;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1988;C;9.88562;Cropland in use;Mha
RO;Romania;1988;Csum;9.88562;Crop area sum;Mha
RO;Romania;1988;Ctot;10.707;FAOSTAT cropland;Mha
RO;Romania;1988;PG;4.402;Permanent grassland;Mha
RO;Romania;1988;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1989;C;10.053;Cropland in use;Mha
RO;Romania;1989;Csum;10.181763206956614;Crop area sum;Mha
RO;Romania;1989;Ctot;10.053;FAOSTAT cropland;Mha
RO;Romania;1989;PG;4.705;Permanent grassland;Mha
RO;Romania;1989;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1990;C;9.746373;Cropland in use;Mha
RO;Romania;1990;Csum;9.746373;Crop area sum;Mha
RO;Romania;1990;Ctot;10.041;FAOSTAT cropland;Mha
RO;Romania;1990;PG;4.728;Permanent grassland;Mha
RO;Romania;1990;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1991;C;9.620605000000001;Cropland in use;Mha
RO;Romania;1991;Csum;9.620605000000001;Crop area sum;Mha
RO;Romania;1991;Ctot;10.02;FAOSTAT cropland;Mha
RO;Romania;1991;PG;4.778;Permanent grassland;Mha
RO;Romania;1991;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1992;C;9.37892;Cropland in use;Mha
