Domain Code;Domain;Area Code (M49);Area;NUTS_ID;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;7221.8;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;7072.4;A;Official figure;
RL;Land Use;250;France;FR;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;6990;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;2702;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;1706;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;1763;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;1688;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;1784.145;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;1688.5148;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;1582.501;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;1803.8774;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;1859.59;A;Official figure;
RL;Land Use;300;Greece;EL;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;1860;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;65;I;Imputed value;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;65;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;85;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;87;A;Official figure;
RL;Land Use;348;Hungary;HU;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;71;A;Official figure;
RL;Land Use;352;Iceland;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;154;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2001;2001;1000 ha;3435.8;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;3380.8;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;3368.77;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;3327.35;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;3339.31;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;3318.92;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;3352.55;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;3694.85;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;3687.33;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;3690.16;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;3647.86;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;3568.39;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;3528.96;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;3505.82;I;Imputed value;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;3472;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2016;2016;1000 ha;3467;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2017;2017;1000 ha;3507;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2018;2018;1000 ha;3540;A;Official figure;
