,region,region_name,symbol,year,value,label,unit,confidence
104,AL,Albania,E_total,2000,88.209045,excreted total,Gg N,estimated
105,AL,Albania,E_house,2000,22.833246599999995,excreted in house,Gg N,estimated
106,AL,Albania,A_PG,2000,0.22619803529016802,applied to permanent grassland,Gg N,estimated
107,AL,Albania,A_TG,2000,0.06798715262747779,applied to temporary grassland,Gg N,estimated
108,AL,Albania,A_PC,2000,1.8291252371809126,applied to permanent crops,Gg N,estimated
109,AL,Albania,A_AL,2000,13.956602888824175,applied to other arable land,Gg N,estimated
110,AL,Albania,L_storage,2001,6.620347490550828,loss from houses and storage,Gg N,estimated
111,AL,Albania,G,2001,63.48779784,excreted grazing,Gg N,estimated
112,AL,Albania,G_PG,2001,48.81556151062078,excreted grazing on permanent grassland,Gg N,estimated
113,AL,Albania,G_TG,2001,14.672236329379217,excreted grazing on temporary grassland,Gg N,estimated
114,AL,Albania,E_total,2001,85.871415,excreted total,Gg N,estimated
115,AL,Albania,E_house,2001,22.38361716,excreted in house,Gg N,estimated
116,AL,Albania,A_PG,2001,0.2234395124711237,applied to permanent grassland,Gg N,estimated
117,AL,Albania,A_TG,2001,0.06715803794624653,applied to temporary grassland,Gg N,estimated
118,AL,Albania,A_PC,2001,1.8169549236179545,applied to permanent crops,Gg N,estimated
119,AL,Albania,A_AL,2001,13.655717195413848,applied to other arable land,Gg N,estimated
120,AL,Albania,L_storage,2002,6.655675870841498,loss from houses and storage,Gg N,estimated
121,AL,Albania,G,2002,61.386246400000005,excreted grazing,Gg N,estimated
122,AL,Albania,G_PG,2002,47.199685435574146,excreted grazing on permanent grassland,Gg N,estimated
123,AL,Albania,G_TG,2002,14.186560964425858,excreted grazing on temporary grassland,Gg N,estimated
124,AL,Albania,E_total,2002,83.88931000000001,excreted total,Gg N,estimated
125,AL,Albania,E_house,2002,22.503063600000004,excreted in house,Gg N,estimated
126,AL,Albania,A_PG,2002,0.22730198625196812,applied to permanent grassland,Gg N,estimated
127,AL,Albania,A_TG,2002,0.06831896135621796,applied to temporary grassland,Gg N,estimated
128,AL,Albania,A_PC,2002,1.74150029629922,applied to permanent crops,Gg N,estimated
129,AL,Albania,A_AL,2002,13.8102664852511,applied to other arable land,Gg N,estimated
