,region,region name,year,category,value,label,unit,confidence
8162,HU3,Alföld Es Eszak,1990,forage legumes,42.686595700427546,symbiotic fixation,Gg N,estimated
8163,HU3,Alföld Es Eszak,1990,soy,0.991983825335996,symbiotic fixation,Gg N,estimated
8164,HU3,Alföld Es Eszak,1991,pulses,7.056157180276973,symbiotic fixation,Gg N,estimated
8165,HU3,Alföld Es Eszak,1991,temporary grassland,0.09478365296311804,symbiotic fixation,Gg N,estimated
8166,HU3,Alföld Es Eszak,1991,forage legumes,42.46913646234249,symbiotic fixation,Gg N,estimated
8167,HU3,Alföld Es Eszak,1991,soy,1.065464108694218,symbiotic fixation,Gg N,estimated
8168,HU3,Alföld Es Eszak,1992,pulses,6.302830790923561,symbiotic fixation,Gg N,estimated
8169,HU3,Alföld Es Eszak,1992,temporary grassland,0.09531915382731648,symbiotic fixation,Gg N,estimated
8170,HU3,Alföld Es Eszak,1992,forage legumes,39.56105539945397,symbiotic fixation,Gg N,estimated
8171,HU3,Alföld Es Eszak,1992,soy,0.7348028335822192,symbiotic fixation,Gg N,estimated
8172,HU3,Alföld Es Eszak,1993,pulses,3.7415210671219543,symbiotic fixation,Gg N,estimated
8173,HU3,Alföld Es Eszak,1993,temporary grassland,0.09585465469151488,symbiotic fixation,Gg N,estimated
8174,HU3,Alföld Es Eszak,1993,forage legumes,35.69957663997906,symbiotic fixation,Gg N,estimated
8175,HU3,Alföld Es Eszak,1993,soy,0.4776218418284426,symbiotic fixation,Gg N,estimated
8176,HU3,Alföld Es Eszak,1994,pulses,3.5908557892512714,symbiotic fixation,Gg N,estimated
8177,HU3,Alföld Es Eszak,1994,temporary grassland,0.09639015555571329,symbiotic fixation,Gg N,estimated
8178,HU3,Alföld Es Eszak,1994,forage legumes,35.18020611861925,symbiotic fixation,Gg N,estimated
8179,HU3,Alföld Es Eszak,1994,soy,0.31229120427244317,symbiotic fixation,Gg N,estimated
8180,HU3,Alföld Es Eszak,1995,pulses,3.418699093333334,symbiotic fixation,Gg N,estimated
