,region,region_name,symbol,year,value,label,unit,confidence
158,AT1,East Austria,TG,1991,0.0183379036424322,temporary grassland area,Mha,corrected (e)
159,AT1,East Austria,PG,1991,0.23240377683670477,permanent grassland area,Mha,EuropeAgri
160,AT1,East Austria,C_sum,1992,1.245169775244827,crop area sum,Mha,calculated
161,AT1,East Austria,AL_sum,1992,0.9544723255172085,arable land area sum,Mha,calculated
162,AT1,East Austria,PC_sum,1992,0.0592,permanent crop area sum,Mha,calculated
163,AT1,East Austria,TG,1992,0.016738667859662,temporary grassland area,Mha,corrected (e)
164,AT1,East Austria,PG,1992,0.23149744972761854,permanent grassland area,Mha,EuropeAgri
165,AT1,East Austria,C_sum,1993,1.2351076926512583,crop area sum,Mha,calculated
166,AT1,East Austria,AL_sum,1993,0.9479319315091513,arable land area sum,Mha,calculated
167,AT1,East Austria,PC_sum,1993,0.0565999999999999,permanent crop area sum,Mha,calculated
168,AT1,East Austria,TG,1993,0.0109458804687386,temporary grassland area,Mha,corrected (e)
169,AT1,East Austria,PG,1993,0.23057576114210712,permanent grassland area,Mha,EuropeAgri
170,AT1,East Austria,C_sum,1994,1.2276024710818556,crop area sum,Mha,calculated
171,AT1,East Austria,AL_sum,1994,0.9413330370488348,arable land area sum,Mha,calculated
172,AT1,East Austria,PC_sum,1994,0.0565999999999999,permanent crop area sum,Mha,calculated
173,AT1,East Austria,TG,1994,0.0116566519277476,temporary grassland area,Mha,corrected (e)
174,AT1,East Austria,PG,1994,0.22966943403302092,permanent grassland area,Mha,EuropeAgri
175,AT1,East Austria,C_sum,1995,1.1532922403079175,crop area sum,Mha,calculated
176,AT1,East Austria,AL_sum,1995,0.8680444948604081,arable land area sum,Mha,calculated
177,AT1,East Austria,PC_sum,1995,0.0565,permanent crop area sum,Mha,calculated
178,AT1,East Austria,TG,1995,0.0144286606178827,temporary grassland area,Mha,corrected (e)
179,AT1,East Austria,PG,1995,0.2287477454475095,permanent grassland area,Mha,EuropeAgri
180,AT1,East Austria,C_sum,1996,1.143307154602301,crop area sum,Mha,calculated
181,AT1,East Austria,AL_sum,1996,0.8583359157304451,arable land area sum,Mha,calculated
182,AT1,East Austria,PC_sum,1996,0.0565,permanent crop area sum,Mha,calculated
183,AT1,East Austria,TG,1996,0.015636972098198,temporary grassland area,Mha,corrected (e)
184,AT1,East Austria,PG,1996,0.22847123887185602,permanent grassland area,Mha,EuropeAgri
