,region,region name,year,symbol,label,unit,value
282,BE2,Vlaams Gewest,2011,typ,metabolic typology,no unit,LVK
283,BE2,Vlaams Gewest,2011,urb_typ,urban typology,no unit,
284,BE2,Vlaams Gewest,2012,typ,metabolic typology,no unit,LVK
285,BE2,Vlaams Gewest,2012,urb_typ,urban typology,no unit,
286,BE2,Vlaams Gewest,2013,typ,metabolic typology,no unit,LVK
287,BE2,Vlaams Gewest,2013,urb_typ,urban typology,no unit,
288,BE2,Vlaams Gewest,2014,typ,metabolic typology,no unit,LVK
289,BE2,Vlaams Gewest,2014,urb_typ,urban typology,no unit,
290,BE2,Vlaams Gewest,2015,typ,metabolic typology,no unit,LVK
291,BE2,Vlaams Gewest,2015,urb_typ,urban typology,no unit,
292,BE2,Vlaams Gewest,2016,typ,metabolic typology,no unit,LVK
293,BE2,Vlaams Gewest,2016,urb_typ,urban typology,no unit,
294,BE2,Vlaams Gewest,2017,typ,metabolic typology,no unit,LVK
295,BE2,Vlaams Gewest,2017,urb_typ,urban typology,no unit,
296,BE2,Vlaams Gewest,2018,typ,metabolic typology,no unit,LVK
297,BE2,Vlaams Gewest,2018,urb_typ,urban typology,no unit,
298,BE2,Vlaams Gewest,2019,typ,metabolic typology,no unit,LVK
299,BE2,Vlaams Gewest,2019,urb_typ,urban typology,no unit,
300,BE3,Région Wallonne,1990,typ,metabolic typology,no unit,LVK
301,BE3,Région Wallonne,1990,urb_typ,urban typology,no unit,
302,BE3,Région Wallonne,1991,typ,metabolic typology,no unit,LVK
303,BE3,Région Wallonne,1991,urb_typ,urban typology,no unit,
304,BE3,Région Wallonne,1992,typ,metabolic typology,no unit,LVK
305,BE3,Région Wallonne,1992,urb_typ,urban typology,no unit,
306,BE3,Région Wallonne,1993,typ,metabolic typology,no unit,LVK
307,BE3,Région Wallonne,1993,urb_typ,urban typology,no unit,
308,BE3,Région Wallonne,1994,typ,metabolic typology,no unit,LVK
309,BE3,Région Wallonne,1994,urb_typ,urban typology,no unit,
310,BE3,Région Wallonne,1995,typ,metabolic typology,no unit,LVK
311,BE3,Région Wallonne,1995,urb_typ,urban typology,no unit,
312,BE3,Région Wallonne,1996,typ,metabolic typology,no unit,LVK
313,BE3,Région Wallonne,1996,urb_typ,urban typology,no unit,
314,BE3,Région Wallonne,1997,typ,metabolic typology,no unit,LVK
315,BE3,Région Wallonne,1997,urb_typ,urban typology,no unit,
316,BE3,Région Wallonne,1998,typ,metabolic typology,no unit,LVK
317,BE3,Région Wallonne,1998,urb_typ,urban typology,no unit,
318,BE3,Région Wallonne,1999,typ,metabolic typology,no unit,LVK
319,BE3,Région Wallonne,1999,urb_typ,urban typology,no unit,
320,BE3,Région Wallonne,2000,typ,metabolic typology,no unit,DSG
321,BE3,Région Wallonne,2000,urb_typ,urban typology,no unit,
322,BE3,Région Wallonne,2001,typ,metabolic typology,no unit,DSG
323,BE3,Région Wallonne,2001,urb_typ,urban typology,no unit,
324,BE3,Région Wallonne,2002,typ,metabolic typology,no unit,DSG
325,BE3,Région Wallonne,2002,urb_typ,urban typology,no unit,
326,BE3,Région Wallonne,2003,typ,metabolic typology,no unit,DSG
327,BE3,Région Wallonne,2003,urb_typ,urban typology,no unit,
328,BE3,Région Wallonne,2004,typ,metabolic typology,no unit,DSG
329,BE3,Région Wallonne,2004,urb_typ,urban typology,no unit,
330,BE3,Région Wallonne,2005,typ,metabolic typology,no unit,DSG
331,BE3,Région Wallonne,2005,urb_typ,urban typology,no unit,
332,BE3,Région Wallonne,2006,typ,metabolic typology,no unit,DSG
333,BE3,Région Wallonne,2006,urb_typ,urban typology,no unit,
334,BE3,Région Wallonne,2007,typ,metabolic typology,no unit,DSG
335,BE3,Région Wallonne,2007,urb_typ,urban typology,no unit,
336,BE3,Région Wallonne,2008,typ,metabolic typology,no unit,DSG
