,region,region name,year,symbol,label,unit,value
161,AL,Albania,1996,H_total,total crop production,Gg N,31.822423424627658
162,AL,Albania,1996,C_total,total cereal production,Gg N,9.986166052115824
163,AL,Albania,1996,PG_H,permanent grassland production,Gg N,23.763004300000002
164,AL,Albania,1996,F_ingestion,effective fodder ingestion,Gg N,18.94463732525214
165,AL,Albania,1996,total_N_input,soil N input from manure,%,32.11340550177588
166,AL,Albania,1996,NS,soil N surplus,kgN/ha,30.103572676495997
167,AL,Albania,1996,NUE,NUE arable,no unit,0.6580081596965381
168,AL,Albania,1997,H_ingestion,total human ingestion,Gg N,20.96621951443787
169,AL,Albania,1997,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.75106841
170,AL,Albania,1997,E_total,total animal excretion,Gg N,90.63703
171,AL,Albania,1997,A_non_edible,non-edible animal production,Gg N,0.620507
172,AL,Albania,1997,Eggs,egg production,Gg N,0.289622
173,AL,Albania,1997,Milk,cows milk production,Gg N,
174,AL,Albania,1997,Meat_bovine,bovine meat production,Gg N,0.19749
175,AL,Albania,1997,Meat_sheep,sheep meat production,Gg N,0.04134
176,AL,Albania,1997,Meat_goats,goats meat production,Gg N,0.027772
177,AL,Albania,1997,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
178,AL,Albania,1997,Meat_poultry,poultry meat production,Gg N,0.098739
179,AL,Albania,1997,Agri_total,total agricultural production,Gg N,33.64611420695693
180,AL,Albania,1997,M_ingestion,monogastric ingestion,Gg N,6.27791
181,AL,Albania,1997,R_ingestion,ruminant ingestion,Gg N,85.868348
182,AL,Albania,1997,total_A_ingestion,total animal ingestion,Gg N,92.14625799999999
183,AL,Albania,1997,L_density,livestock density,LU/haUAA,1.035722481570337
184,AL,Albania,1997,F_import,net import feed,Gg N,47.108124359625855
185,AL,Albania,1997,H_total,total crop production,Gg N,32.757393206956934
186,AL,Albania,1997,C_total,total cereal production,Gg N,10.702230050619004
187,AL,Albania,1997,PG_H,permanent grassland production,Gg N,23.763004300000002
188,AL,Albania,1997,F_ingestion,effective fodder ingestion,Gg N,19.19950190475512
189,AL,Albania,1997,total_N_input,soil N input from manure,%,32.15911913945801
190,AL,Albania,1997,NS,soil N surplus,kgN/ha,24.22956185044373
191,AL,Albania,1997,NUE,NUE arable,no unit,0.6994890725514908
192,AL,Albania,1998,H_ingestion,total human ingestion,Gg N,21.155578644358837
193,AL,Albania,1998,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.80300993
194,AL,Albania,1998,E_total,total animal excretion,Gg N,84.77566499999999
195,AL,Albania,1998,A_non_edible,non-edible animal production,Gg N,0.620507
196,AL,Albania,1998,Eggs,egg production,Gg N,0.341174
197,AL,Albania,1998,Milk,cows milk production,Gg N,
198,AL,Albania,1998,Meat_bovine,bovine meat production,Gg N,0.19749
199,AL,Albania,1998,Meat_sheep,sheep meat production,Gg N,0.04134
200,AL,Albania,1998,Meat_goats,goats meat production,Gg N,0.027772
201,AL,Albania,1998,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
202,AL,Albania,1998,Meat_poultry,poultry meat production,Gg N,0.098739
203,AL,Albania,1998,Agri_total,total agricultural production,Gg N,34.33602792555793
204,AL,Albania,1998,M_ingestion,monogastric ingestion,Gg N,6.375297
205,AL,Albania,1998,R_ingestion,ruminant ingestion,Gg N,79.961148
206,AL,Albania,1998,total_A_ingestion,total animal ingestion,Gg N,86.33644499999998
207,AL,Albania,1998,L_density,livestock density,LU/haUAA,0.9699480346813589
208,AL,Albania,1998,F_import,net import feed,Gg N,40.833641724095784
209,AL,Albania,1998,H_total,total crop production,Gg N,33.39575492555793
210,AL,Albania,1998,C_total,total cereal production,Gg N,10.699174899586378
211,AL,Albania,1998,PG_H,permanent grassland production,Gg N,23.763004300000002
212,AL,Albania,1998,F_ingestion,effective fodder ingestion,Gg N,19.745138971317818
213,AL,Albania,1998,total_N_input,soil N input from manure,%,24.382907852401818
