Domain Code;Domain;region;Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;1998;1998;1000 No;10590000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;1999;1999;t;647000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;1999;1999;1000 No;11043000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2000;2000;t;668000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2000;2000;1000 No;11063000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2001;2001;t;657000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2001;2001;1000 No;10874000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2002;2002;t;635000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2002;2002;1000 No;10545000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2003;2003;t;463000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2003;2003;1000 No;7674000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2004;2004;t;611000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2004;2004;1000 No;10015000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2005;2005;t;607000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2005;2005;1000 No;9953000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2006;2006;t;611000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2006;2006;1000 No;10011000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2007;2007;t;621000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2007;2007;1000 No;10180300;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2008;2008;t;627000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2008;2008;1000 No;10278700;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2009;2009;t;638000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2009;2009;1000 No;9836000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2010;2010;t;670000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2010;2010;1000 No;10177000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2011;2011;t;692000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2011;2011;1000 No;10485000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2012;2012;t;672000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2012;2012;1000 No;10182000;A;Official figure;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2013;2013;t;699000;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2013;2013;1000 No;10591000;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2014;2014;t;726000;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2014;2014;1000 No;11000000;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2015;2015;t;660600;E;Estimated value;
